IP,PORT,Response Time(ms),Status Code,Server
104.18.112.31,443,1365,400,cloudflare
104.18.112.172,443,1365,400,cloudflare
japan.com,443,1918,200,cloudflare
104.18.112.111,443,346,400,cloudflare
63.250.56.7,443,623,400,nginx
104.18.112.201,443,321,400,cloudflare
104.18.112.228,443,337,400,cloudflare
104.18.112.192,443,343,400,cloudflare
104.18.112.163,443,340,400,cloudflare
104.18.112.42,443,342,400,cloudflare
104.18.112.20,443,336,400,cloudflare
singapore.com,443,2130,200,cloudflare
russia.com,443,2263,200,cloudflare
47.74.22.184,443,2292,400,cloudflare
104.18.112.198,443,337,400,cloudflare
63.250.56.77,443,2379,301,apache
104.18.112.164,443,338,400,cloudflare
104.18.112.252,443,1338,400,cloudflare
104.18.112.236,443,1346,400,cloudflare
104.18.112.27,443,345,400,cloudflare
104.18.112.159,443,350,400,cloudflare
104.18.112.110,443,342,400,cloudflare
63.250.56.44,443,1143,400,nginx
63.250.56.49,443,1670,400,nginx
104.18.112.72,443,336,400,cloudflare
63.250.56.195,443,741,400,nginx
63.250.56.209,443,2830,400,nginx/1.18.0 (ubuntu)
63.250.56.229,443,2514,400,apache
63.250.56.210,443,3076,400,nginx
104.18.112.154,443,3352,400,cloudflare
104.18.112.153,443,3360,400,cloudflare
104.18.112.213,443,3366,400,cloudflare
104.18.112.33,443,3371,400,cloudflare
104.18.112.24,443,3373,400,cloudflare
104.18.112.222,443,3371,400,cloudflare
104.18.112.219,443,3374,400,cloudflare
104.18.112.173,443,3374,400,cloudflare
104.18.112.38,443,3374,400,cloudflare
104.18.112.184,443,3376,400,cloudflare
104.18.112.141,443,3377,400,cloudflare
104.18.112.146,443,3377,400,cloudflare
104.18.112.34,443,3377,400,cloudflare
104.18.112.62,443,3376,400,cloudflare
104.18.112.206,443,3378,400,cloudflare
104.18.112.250,443,3378,400,cloudflare
104.18.112.15,443,3377,400,cloudflare
104.18.112.217,443,3377,400,cloudflare
104.18.112.181,443,3382,400,cloudflare
104.18.112.254,443,3382,400,cloudflare
104.18.112.214,443,3383,400,cloudflare
63.250.56.18,443,1049,400,rhino-core-shield
104.18.112.227,443,3385,400,cloudflare
104.18.112.216,443,3387,400,cloudflare
104.18.112.243,443,3387,400,cloudflare
104.18.112.90,443,3386,400,cloudflare
104.18.112.238,443,3403,400,cloudflare
104.18.112.231,443,3403,400,cloudflare
104.18.112.204,443,3403,400,cloudflare
104.18.112.9,443,3402,400,cloudflare
104.18.112.242,443,3403,400,cloudflare
104.18.112.8,443,3403,400,cloudflare
104.18.112.97,443,3406,400,cloudflare
104.18.112.207,443,3404,400,cloudflare
104.18.112.71,443,3403,400,cloudflare
104.18.112.248,443,3403,400,cloudflare
104.18.112.58,443,3403,400,cloudflare
104.18.112.168,443,3403,400,cloudflare
104.18.112.161,443,3402,400,cloudflare
104.18.112.221,443,3402,400,cloudflare
104.18.112.21,443,3404,400,cloudflare
104.18.112.149,443,3403,400,cloudflare
104.18.112.60,443,3402,400,cloudflare
104.18.112.53,443,3402,400,cloudflare
104.18.112.83,443,3405,400,cloudflare
104.18.112.125,443,3404,400,cloudflare
104.18.112.81,443,3402,400,cloudflare
104.18.112.182,443,3404,400,cloudflare
104.18.112.220,443,3403,400,cloudflare
104.18.112.188,443,3403,400,cloudflare
104.18.112.144,443,3403,400,cloudflare
104.18.112.95,443,3403,400,cloudflare
104.18.112.36,443,3403,400,cloudflare
104.18.112.205,443,3404,400,cloudflare
104.18.112.6,443,3412,400,cloudflare
104.18.112.2,443,3413,400,cloudflare
129.146.186.4,443,3449,400,cloudflare
time.cloudflare.com,443,3107,200,cloudflare
63.250.56.79,443,3556,400,tengine
63.250.56.105,443,3628,400,nginx
104.18.112.119,443,355,400,cloudflare
104.18.112.177,443,326,400,cloudflare
104.18.112.123,443,330,400,cloudflare
104.18.112.117,443,336,400,cloudflare
104.18.112.179,443,340,400,cloudflare
104.18.112.57,443,341,400,cloudflare
104.18.112.127,443,326,400,cloudflare
104.18.112.158,443,354,400,cloudflare
104.18.112.69,443,332,400,cloudflare
104.18.112.234,443,338,400,cloudflare
104.18.112.120,443,345,400,cloudflare
104.18.112.226,443,354,400,cloudflare
63.250.56.181,443,3862,400,nginx
63.250.56.4,443,3895,400,nginx
63.250.56.50,443,1051,400,nginx/1.10.3
63.250.56.70,443,626,400,nginx/1.18.0 (ubuntu)
104.18.112.59,443,349,400,cloudflare
104.18.112.178,443,356,400,cloudflare
104.18.112.54,443,336,400,cloudflare
63.250.56.231,443,695,400,apache
104.18.112.218,443,343,400,cloudflare
63.250.56.46,443,4231,404,
104.18.112.52,443,4339,400,cloudflare
63.250.56.151,443,4392,400,apache
104.18.112.86,443,4387,400,cloudflare
104.18.112.126,443,337,400,cloudflare
104.18.112.100,443,340,400,cloudflare
104.18.112.102,443,4430,400,cloudflare
63.250.56.3,443,1077,400,nginx
104.18.112.3,443,389,400,cloudflare
63.250.56.96,443,4436,400,
104.18.112.40,443,395,400,cloudflare
104.18.112.82,443,404,400,cloudflare
104.18.112.210,443,418,400,cloudflare
104.18.112.107,443,333,400,cloudflare
104.18.112.4,443,326,400,cloudflare
104.18.112.116,443,348,400,cloudflare
63.250.56.48,443,782,400,nginx
63.250.56.243,443,2673,400,nginx/1.18.0 (ubuntu)
104.18.112.37,443,342,400,cloudflare
63.250.56.90,443,1181,301,apache
104.18.112.96,443,338,400,cloudflare
104.18.112.189,443,1374,400,cloudflare
104.18.112.22,443,340,400,cloudflare
63.250.56.117,443,1630,400,nginx
63.250.56.214,443,1648,400,nginx/1.18.0 (ubuntu)
63.250.56.237,443,1720,400,nginx
63.250.56.207,443,3504,400,nginx
63.250.56.58,443,715,400,nginx
63.250.56.200,443,1039,400,nginx/1.18.0 (ubuntu)
63.250.56.235,443,796,301,apache
104.18.112.92,443,337,400,cloudflare
63.250.56.232,443,2255,301,apache
104.18.112.64,443,432,400,cloudflare
63.250.56.133,443,1643,400,
104.18.112.65,443,355,400,cloudflare
